index	R_nought_1	R_nought_2	tr_11	tr_22	tr_12	tr_21	removal_rate	sampling_proba	infectious_time	tree_size	proportion_t22_t11	fraction_1
0	3.154	5.532	0.65	1.14	0.005	0	0.206	1	4.859	460	1.754	1
1	2.779	7.767	0.514	1.437	0.005	0	0.185	1	5.411	473	2.795	1
2	1.091	2.78	0.555	1.415	0.005	0	0.509	1	1.964	450	2.548	1
3	4.195	7.694	0.608	1.116	0.005	0	0.145	1	6.873	495	1.834	1
4	1.691	4.831	0.741	2.116	0.005	0	0.438	1	2.283	493	2.857	1
5	1.01	2.876	0.479	1.363	0.005	0	0.474	1	2.108	472	2.848	1
6	4.987	11.181	0.803	1.8	0.005	0	0.161	1	6.222	489	2.242	1
7	3.138	6.179	1.252	2.465	0.005	0	0.399	1	2.504	454	1.969	1
8	2.609	5.536	0.347	0.736	0.005	0	0.133	1	7.502	474	2.122	1
9	1.463	2.474	0.361	0.611	0.005	0	0.247	1	4.042	479	1.691	1
10	2.515	6.433	0.571	1.46	0.005	0	0.227	1	4.397	482	2.558	1
11	1.579	4.099	0.259	0.672	0.005	0	0.164	1	6.096	486	2.596	1
12	3.658	9.606	0.406	1.066	0.005	0	0.111	1	8.987	493	2.626	1
13	2.183	6.027	0.225	0.621	0.005	0	0.103	1	9.732	491	2.761	1
14	3.555	6.122	0.412	0.71	0.005	0	0.116	1	8.638	458	1.722	1
15	3.164	6.717	1.582	3.358	0.005	0	0.5	1	2.001	479	2.123	1
16	1.881	5.509	0.292	0.854	0.005	0	0.155	1	6.444	459	2.929	1
17	3.97	6.816	0.623	1.07	0.005	0	0.157	1	6.368	482	1.717	1
18	4.853	12.618	2.048	5.325	0.005	0	0.422	1	2.369	491	2.6	1
19	4.644	12.153	2.201	5.761	0.005	0	0.474	1	2.108	455	2.617	1
20	4.66	7.451	1.025	1.639	0.005	0	0.22	1	4.552	483	1.599	1
21	3.283	6.714	0.492	1.007	0.005	0	0.15	1	6.649	490	2.045	1
22	3.421	7.858	0.441	1.014	0.005	0	0.129	1	7.767	474	2.297	1
23	2.55	4.391	0.263	0.452	0.005	0	0.103	1	9.733	462	1.722	1
24	2.153	3.294	0.603	0.922	0.005	0	0.28	1	3.566	492	1.53	1
25	1.302	2.203	0.997	1.687	0.005	0	0.766	1	1.306	477	1.692	1
26	3.529	10.082	0.356	1.018	0.005	0	0.101	1	9.949	477	2.857	1
27	3.332	8.617	0.756	1.956	0.005	0	0.227	1	4.402	488	2.586	1
28	3.536	8.129	0.923	2.122	0.005	0	0.261	1	3.827	482	2.299	1
29	3.5	5.576	1.372	2.186	0.005	0	0.392	1	2.554	453	1.593	1
30	2.15	6.439	0.492	1.475	0.005	0	0.229	1	4.372	476	2.995	1
31	2.318	4.36	0.299	0.562	0.005	0	0.129	1	7.78	458	1.881	1
32	1.407	3.489	0.183	0.454	0.005	0	0.13	1	7.695	486	2.48	1
33	3.933	8.424	0.417	0.893	0.005	0	0.106	1	9.438	476	2.142	1
34	1.148	2.407	0.166	0.349	0.005	0	0.145	1	6.92	487	2.097	1
35	3.574	5.822	1.673	2.725	0.005	0	0.468	1	2.138	477	1.629	1
36	2.65	7.868	0.435	1.29	0.005	0	0.164	1	6.097	483	2.969	1
37	1.435	3.008	0.232	0.487	0.005	0	0.162	1	6.163	497	2.096	1
38	1.268	3.145	0.189	0.469	0.005	0	0.149	1	6.693	471	2.48	1
39	1.939	4.964	0.304	0.779	0.005	0	0.157	1	6.35	471	2.56	1
40	4.043	12.012	0.445	1.321	0.005	0	0.11	1	9.082	460	2.971	1
41	2.086	4.339	0.271	0.564	0.005	0	0.13	1	7.709	450	2.08	1
42	4.684	7.115	0.946	1.437	0.005	0	0.202	1	4.95	485	1.519	1
43	2.923	7.156	0.608	1.488	0.005	0	0.208	1	4.797	473	2.448	1
44	1.473	3.596	0.354	0.863	0.005	0	0.24	1	4.174	473	2.441	1
45	3.334	7.481	0.844	1.893	0.005	0	0.253	1	3.954	480	2.244	1
46	1.214	3.11	0.164	0.42	0.005	0	0.135	1	7.385	489	2.562	1
47	1.492	3.646	0.379	0.926	0.005	0	0.254	1	3.942	484	2.444	1
48	1.805	2.948	0.426	0.696	0.005	0	0.236	1	4.241	481	1.633	1
49	3.868	9.89	1.76	4.5	0.005	0	0.455	1	2.197	490	2.557	1
50	1.856	5.037	0.223	0.604	0.005	0	0.12	1	8.308	485	2.714	1
51	1.537	4.279	0.366	1.018	0.005	0	0.238	1	4.197	498	2.784	1
52	4.006	8.873	2.728	6.043	0.005	0	0.681	1	1.469	488	2.215	1
53	3.985	10.441	2.24	5.868	0.005	0	0.562	1	1.779	491	2.62	1
54	4.898	8.165	1.42	2.368	0.005	0	0.29	1	3.443	481	1.667	1
55	1.322	3.037	0.46	1.057	0.005	0	0.348	1	2.877	476	2.297	1
56	4.086	8.54	0.425	0.888	0.005	0	0.104	1	9.573	452	2.09	1
57	2.326	5.848	0.281	0.708	0.005	0	0.121	1	8.234	496	2.514	1
58	4.485	13.446	0.964	2.891	0.005	0	0.215	1	4.655	468	2.998	1
59	1.222	1.839	0.205	0.309	0.005	0	0.168	1	5.936	496	1.505	1
60	3.303	6.249	2.893	5.474	0.005	0	0.876	1	1.142	469	1.892	1
61	1.04	2.957	0.922	2.623	0.005	0	0.887	1	1.128	456	2.843	1
62	1.645	2.922	0.37	0.657	0.005	0	0.225	1	4.442	458	1.776	1
63	3.11	5.48	1.757	3.096	0.005	0	0.565	1	1.771	462	1.762	1
64	4.468	7.663	1.18	2.023	0.005	0	0.264	1	3.782	455	1.715	1
65	3.822	9.712	0.822	2.088	0.005	0	0.215	1	4.645	476	2.541	1
66	1.3	3.601	0.315	0.871	0.005	0	0.242	1	4.13	485	2.77	1
67	2.288	3.83	0.384	0.643	0.005	0	0.168	1	5.943	481	1.674	1
68	1.907	3.343	0.317	0.555	0.005	0	0.166	1	6.026	461	1.753	1
69	2.293	6.498	0.282	0.799	0.005	0	0.123	1	8.141	454	2.834	1
70	3.918	10.978	0.662	1.855	0.005	0	0.169	1	5.926	465	2.802	1
71	3.674	8.27	0.661	1.489	0.005	0	0.18	1	5.543	481	2.251	1
72	4.143	8.319	3.828	7.687	0.005	0	0.924	1	1.082	470	2.008	1
73	4.049	8.163	0.506	1.02	0.005	0	0.125	1	8.0	450	2.016	1
74	2.217	3.709	0.372	0.623	0.005	0	0.168	1	5.947	462	1.673	1
75	1.52	3.583	0.277	0.652	0.005	0	0.182	1	5.494	496	2.357	1
76	4.821	14.222	0.516	1.522	0.005	0	0.107	1	9.375	462	2.95	1
77	1.495	2.983	0.151	0.301	0.005	0	0.101	1	9.864	473	1.995	1
78	1.762	2.893	0.329	0.541	0.005	0	0.187	1	5.353	478	1.642	1
79	3.789	9.832	3.467	8.996	0.005	0	0.915	1	1.093	488	2.595	1
80	1.156	2.007	0.356	0.618	0.005	0	0.308	1	3.245	480	1.736	1
81	3.128	8.305	0.488	1.296	0.005	0	0.156	1	6.395	469	2.655	1
82	4.356	11.739	0.479	1.291	0.005	0	0.11	1	9.053	465	2.695	1
83	3.891	8.611	0.809	1.791	0.005	0	0.208	1	4.797	480	2.213	1
84	1.812	4.994	0.419	1.154	0.005	0	0.231	1	4.33	472	2.756	1
85	4.989	11.23	0.728	1.64	0.005	0	0.146	1	6.839	498	2.251	1
86	3.602	9.898	1.088	2.989	0.005	0	0.302	1	3.315	495	2.748	1
87	1.315	3.675	0.385	1.077	0.005	0	0.293	1	3.409	489	2.795	1
88	2.28	4.052	1.963	3.489	0.005	0	0.861	1	1.162	483	1.777	1
89	4.844	7.934	2.805	4.594	0.005	0	0.579	1	1.727	472	1.638	1
90	2.263	6.244	0.231	0.637	0.005	0	0.102	1	9.767	465	2.759	1
91	2.827	6.284	0.67	1.489	0.005	0	0.237	1	4.216	450	2.223	1
92	2.249	6.115	0.232	0.63	0.005	0	0.103	1	9.747	451	2.719	1
93	3.491	10.358	0.377	1.119	0.005	0	0.108	1	9.217	470	2.967	1
94	3.86	9.712	0.409	1.029	0.005	0	0.106	1	9.477	485	2.516	1
95	3.521	10.39	0.951	2.805	0.005	0	0.27	1	3.701	485	2.951	1
96	4.238	7.107	1.89	3.17	0.005	0	0.446	1	2.241	496	1.677	1
97	2.378	3.722	0.264	0.413	0.005	0	0.111	1	8.978	461	1.565	1
98	3.404	9.436	0.408	1.132	0.005	0	0.12	1	8.352	464	2.772	1
99	4.858	10.615	0.787	1.72	0.005	0	0.162	1	6.181	475	2.185	1
100	1.019	1.654	0.102	0.165	0.005	0	0.1	1	9.953	460	1.623	1
101	3.868	10.97	0.901	2.556	0.005	0	0.233	1	4.3	455	2.836	1
102	4.09	7.031	0.425	0.731	0.005	0	0.104	1	9.652	462	1.719	1
103	4.974	10.047	0.671	1.356	0.005	0	0.135	1	7.403	454	2.02	1
104	3.514	7.474	0.994	2.115	0.005	0	0.283	1	3.531	458	2.127	1
105	1.709	2.623	0.731	1.123	0.005	0	0.428	1	2.339	472	1.535	1
106	2.307	6.861	1.525	4.535	0.005	0	0.661	1	1.513	487	2.974	1
107	3.129	5.648	1.32	2.383	0.005	0	0.422	1	2.371	463	1.805	1
108	2.68	5.867	0.34	0.745	0.005	0	0.127	1	7.875	482	2.189	1
109	3.485	5.642	0.425	0.688	0.005	0	0.122	1	8.185	459	1.619	1
110	1.404	3.524	0.542	1.36	0.005	0	0.386	1	2.589	499	2.51	1
111	2.33	4.825	1.004	2.08	0.005	0	0.431	1	2.321	493	2.071	1
112	1.646	4.304	0.173	0.452	0.005	0	0.105	1	9.553	493	2.615	1
113	3.917	8.112	0.431	0.892	0.005	0	0.11	1	9.11	468	2.071	1
114	4.254	7.636	1.689	3.031	0.005	0	0.397	1	2.516	489	1.795	1
115	2.76	7.667	0.643	1.786	0.005	0	0.233	1	4.287	473	2.778	1
116	4.978	8.687	1.299	2.267	0.005	0	0.261	1	3.835	450	1.745	1
117	2.392	6.757	0.325	0.919	0.005	0	0.136	1	7.377	459	2.825	1
118	1.658	3.122	0.189	0.356	0.005	0	0.114	1	8.743	469	1.883	1
119	1.871	3.259	0.232	0.404	0.005	0	0.124	1	8.077	499	1.742	1
120	1.124	2.499	0.145	0.322	0.005	0	0.129	1	7.776	476	2.223	1
121	3.201	9.309	0.343	0.996	0.005	0	0.107	1	9.318	498	2.908	1
122	3.388	8.548	0.393	0.992	0.005	0	0.116	1	8.637	472	2.523	1
123	4.549	9.817	1.16	2.503	0.005	0	0.255	1	3.924	463	2.158	1
124	3.821	10.049	0.837	2.201	0.005	0	0.219	1	4.569	451	2.63	1
125	2.506	4.954	0.554	1.095	0.005	0	0.221	1	4.519	492	1.977	1
126	2.614	4.517	0.301	0.519	0.005	0	0.115	1	8.665	460	1.728	1
127	3.836	10.691	0.859	2.395	0.005	0	0.224	1	4.457	483	2.787	1
128	4.653	8.287	0.647	1.152	0.005	0	0.139	1	7.216	463	1.781	1
129	3.123	8.454	0.712	1.928	0.005	0	0.228	1	4.39	481	2.707	1
130	3.534	6.004	1.177	1.999	0.005	0	0.333	1	3.002	472	1.699	1
131	2.628	4.223	0.599	0.963	0.005	0	0.228	1	4.386	464	1.607	1
132	4.276	6.842	0.522	0.835	0.005	0	0.122	1	8.189	479	1.6	1
133	1.581	4.433	0.269	0.754	0.005	0	0.17	1	5.895	482	2.804	1
134	1.506	2.461	0.354	0.578	0.005	0	0.235	1	4.264	458	1.634	1
135	4.74	10.466	1.327	2.93	0.005	0	0.28	1	3.571	453	2.208	1
136	4.123	11.977	0.709	2.06	0.005	0	0.172	1	5.819	483	2.905	1
137	4.374	12.317	0.634	1.786	0.005	0	0.145	1	6.873	482	2.816	1
138	2.958	7.788	1.287	3.388	0.005	0	0.435	1	2.3	465	2.633	1
139	2.307	6.416	1.061	2.951	0.005	0	0.46	1	2.173	462	2.781	1
140	1.559	3.389	0.265	0.576	0.005	0	0.17	1	5.882	485	2.174	1
141	4.093	11.162	0.827	2.255	0.005	0	0.202	1	4.954	494	2.727	1
142	2.755	5.587	0.325	0.659	0.005	0	0.118	1	8.456	464	2.028	1
143	2.757	5.721	0.289	0.601	0.005	0	0.105	1	9.504	465	2.075	1
144	4.839	9.538	3.237	6.381	0.005	0	0.669	1	1.495	478	1.971	1
145	4.254	6.492	0.43	0.656	0.005	0	0.101	1	9.877	493	1.526	1
146	2.453	6.0	0.375	0.918	0.005	0	0.153	1	6.542	472	2.446	1
147	2.49	6.852	0.585	1.61	0.005	0	0.235	1	4.255	462	2.752	1
148	3.482	7.413	0.85	1.809	0.005	0	0.244	1	4.094	494	2.129	1
149	1.426	3.936	0.232	0.642	0.005	0	0.163	1	6.149	454	2.76	1
150	4.322	7.974	0.826	1.523	0.005	0	0.191	1	5.24	475	1.845	1
151	4.06	8.295	0.455	0.929	0.005	0	0.112	1	8.905	456	2.043	1
152	3.382	6.125	0.473	0.858	0.005	0	0.14	1	7.123	464	1.811	1
153	4.063	6.854	1.507	2.543	0.005	0	0.371	1	2.695	468	1.687	1
154	3.452	9.9	0.69	1.98	0.005	0	0.2	1	4.995	451	2.868	1
155	4.587	10.834	0.807	1.907	0.005	0	0.176	1	5.691	471	2.362	1
156	1.423	3.947	0.675	1.871	0.005	0	0.474	1	2.11	450	2.774	1
157	3.046	5.254	1.218	2.102	0.005	0	0.4	1	2.5	452	1.725	1
158	3.202	8.588	1.326	3.555	0.005	0	0.414	1	2.413	470	2.682	1
159	4.065	7.415	0.463	0.845	0.005	0	0.114	1	8.783	453	1.824	1
160	2.271	6.552	0.234	0.675	0.005	0	0.103	1	9.676	454	2.885	1
161	2.61	5.794	0.919	2.039	0.005	0	0.352	1	2.844	495	2.22	1
162	3.761	6.435	1.542	2.638	0.005	0	0.41	1	2.437	481	1.711	1
163	3.819	6.622	0.451	0.781	0.005	0	0.118	1	8.463	455	1.734	1
164	4.509	7.192	0.604	0.964	0.005	0	0.134	1	7.473	490	1.595	1
165	4.304	9.813	1.175	2.679	0.005	0	0.273	1	3.658	486	2.28	1
166	3.144	6.209	0.497	0.981	0.005	0	0.158	1	6.343	462	1.975	1
167	2.42	4.76	0.278	0.547	0.005	0	0.115	1	8.723	463	1.967	1
168	4.24	8.963	0.572	1.21	0.005	0	0.135	1	7.387	459	2.114	1
169	4.068	9.389	0.687	1.587	0.005	0	0.169	1	5.928	462	2.308	1
170	4.953	9.45	0.58	1.106	0.005	0	0.117	1	8.554	451	1.908	1
171	4.631	8.234	3.052	5.426	0.005	0	0.659	1	1.518	476	1.778	1
172	3.529	10.351	1.136	3.333	0.005	0	0.322	1	3.106	456	2.933	1
173	4.188	11.877	0.875	2.482	0.005	0	0.209	1	4.778	491	2.836	1
174	3.37	8.678	2.426	6.248	0.005	0	0.72	1	1.389	465	2.575	1
175	1.526	3.124	0.182	0.372	0.005	0	0.119	1	8.412	477	2.047	1
176	2.016	4.232	0.248	0.521	0.005	0	0.123	1	8.119	475	2.099	1
177	3.832	10.312	0.839	2.258	0.005	0	0.219	1	4.556	477	2.691	1
178	4.537	8.992	0.563	1.115	0.005	0	0.124	1	8.091	475	1.982	1
179	2.585	6.682	1.528	3.949	0.005	0	0.591	1	1.691	463	2.585	1
180	4.819	10.621	1.947	4.291	0.005	0	0.404	1	2.476	475	2.204	1
181	2.818	4.605	0.302	0.493	0.005	0	0.107	1	9.322	467	1.634	1
182	1.11	2.491	0.151	0.339	0.005	0	0.136	1	7.341	453	2.244	1
183	4.666	8.072	0.481	0.831	0.005	0	0.103	1	9.721	469	1.73	1
