index	R_nought_1	R_nought_2	tr_11	tr_22	tr_12	tr_21	removal_rate	sampling_proba	infectious_time	tree_size	proportion_t22_t11	fraction_1
0	1.904	3.065	0.419	0.674	0.005	0	0.22	1	4.549	454	1.61	1
1	3.668	9.39	0.425	1.089	0.005	0	0.116	1	8.645	453	2.56	1
2	4.283	6.977	0.707	1.151	0.005	0	0.165	1	6.078	483	1.629	1
3	1.535	3.799	0.154	0.38	0.005	0	0.1	1	9.984	477	2.475	1
4	4.201	10.99	1.248	3.264	0.005	0	0.297	1	3.372	485	2.616	1
5	4.369	7.93	1.215	2.205	0.005	0	0.278	1	3.599	493	1.815	1
6	2.888	7.18	0.491	1.221	0.005	0	0.17	1	5.871	457	2.486	1
7	2.953	6.252	0.381	0.807	0.005	0	0.129	1	7.726	457	2.117	1
8	2.709	7.826	0.775	2.238	0.005	0	0.286	1	3.5	460	2.889	1
9	4.243	11.337	0.569	1.519	0.005	0	0.134	1	7.457	469	2.672	1
10	1.235	2.554	0.151	0.312	0.005	0	0.122	1	8.187	466	2.068	1
11	2.496	7.049	0.424	1.198	0.005	0	0.17	1	5.891	473	2.824	1
12	4.678	10.189	1.034	2.252	0.005	0	0.221	1	4.523	454	2.178	1
13	3.367	7.411	0.751	1.653	0.005	0	0.223	1	4.486	494	2.201	1
14	4.947	9.335	1.603	3.025	0.005	0	0.324	1	3.091	473	1.887	1
15	4.802	12.989	2.511	6.793	0.005	0	0.523	1	1.911	456	2.705	1
16	4.154	12.404	1.392	4.155	0.005	0	0.335	1	2.987	456	2.986	1
17	2.728	7.873	0.385	1.11	0.005	0	0.141	1	7.075	479	2.886	1
18	3.236	5.773	0.385	0.687	0.005	0	0.119	1	8.375	478	1.784	1
19	3.675	10.492	0.757	2.161	0.005	0	0.206	1	4.848	489	2.855	1
20	1.649	3.234	0.683	1.339	0.005	0	0.414	1	2.413	451	1.961	1
21	3.994	11.263	0.575	1.622	0.005	0	0.144	1	6.954	460	2.82	1
22	2.663	4.2	0.272	0.428	0.005	0	0.102	1	9.759	488	1.577	1
23	4.001	8.722	1.388	3.027	0.005	0	0.347	1	2.886	459	2.18	1
24	1.544	3.826	0.224	0.555	0.005	0	0.145	1	6.878	472	2.478	1
25	1.058	2.17	0.588	1.207	0.005	0	0.556	1	1.799	491	2.051	1
26	1.806	3.294	0.226	0.412	0.005	0	0.125	1	8.0	495	1.824	1
27	2.814	8.203	0.414	1.206	0.005	0	0.147	1	6.786	453	2.915	1
28	1.038	1.78	0.676	1.159	0.005	0	0.651	1	1.535	478	1.715	1
29	4.44	12.405	1.159	3.238	0.005	0	0.261	1	3.835	466	2.794	1
30	1.651	2.579	0.304	0.475	0.005	0	0.184	1	5.438	497	1.562	1
31	2.821	4.956	0.288	0.506	0.005	0	0.102	1	9.829	451	1.757	1
32	4.671	12.168	1.154	3.005	0.005	0	0.247	1	4.048	469	2.605	1
33	3.966	7.408	0.504	0.941	0.005	0	0.127	1	7.866	470	1.868	1
34	4.55	10.51	0.919	2.123	0.005	0	0.202	1	4.949	494	2.31	1
35	4.734	12.228	0.611	1.577	0.005	0	0.129	1	7.73	454	2.583	1
36	2.518	5.958	0.912	2.157	0.005	0	0.362	1	2.759	477	2.366	1
37	1.759	3.935	0.204	0.456	0.005	0	0.116	1	8.612	493	2.237	1
38	1.893	5.654	1.153	3.443	0.005	0	0.609	1	1.642	499	2.987	1
39	3.305	5.377	0.373	0.608	0.005	0	0.113	1	8.88	477	1.627	1
40	1.129	2.362	0.3	0.628	0.005	0	0.266	1	3.762	474	2.092	1
41	3.336	7.239	0.661	1.433	0.005	0	0.198	1	5.048	462	2.17	1
42	4.374	7.405	0.831	1.407	0.005	0	0.19	1	5.274	482	1.693	1
43	2.16	4.476	1.214	2.516	0.005	0	0.562	1	1.778	490	2.072	1
44	1.876	4.144	0.218	0.481	0.005	0	0.116	1	8.657	472	2.209	1
45	4.259	9.234	1.325	2.872	0.005	0	0.311	1	3.214	471	2.168	1
46	4.91	13.777	1.394	3.913	0.005	0	0.284	1	3.515	494	2.806	1
47	4.082	7.466	0.702	1.284	0.005	0	0.172	1	5.815	467	1.829	1
48	3.006	7.073	1.626	3.826	0.005	0	0.541	1	1.848	480	2.353	1
49	1.747	5.175	0.288	0.854	0.005	0	0.165	1	6.052	466	2.962	1
50	4.952	9.914	1.184	2.369	0.005	0	0.239	1	4.188	469	2.002	1
51	4.255	9.621	0.532	1.203	0.005	0	0.125	1	7.999	495	2.261	1
52	3.978	8.282	0.517	1.077	0.005	0	0.13	1	7.711	492	2.082	1
53	3.937	9.331	0.795	1.885	0.005	0	0.202	1	4.947	489	2.37	1
54	2.434	4.951	0.433	0.881	0.005	0	0.178	1	5.606	498	2.034	1
55	4.455	9.93	3.911	8.719	0.005	0	0.878	1	1.139	457	2.229	1
56	1.388	3.853	0.169	0.47	0.005	0	0.122	1	8.188	473	2.776	1
57	3.555	10.086	0.469	1.331	0.005	0	0.132	1	7.583	498	2.837	1
58	2.833	8.077	0.456	1.3	0.005	0	0.161	1	6.217	496	2.851	1
59	4.337	12.616	2.711	7.885	0.005	0	0.625	1	1.599	480	2.909	1
60	2.611	5.18	1.259	2.497	0.005	0	0.482	1	2.074	465	1.984	1
