index	R_nought_1	R_nought_2	tr_11	tr_22	tr_12	tr_21	removal_rate	sampling_proba	infectious_time	tree_size	proportion_t22_t11	fraction_1
0	4.961	12.859	0.551	1.427	0.05	0	0.111	1	8.979	450	2.592	1
1	1.35	2.145	0.571	0.907	0.05	0	0.423	1	2.365	450	1.589	1
2	3.768	5.867	0.437	0.681	0.05	0	0.116	1	8.623	450	1.557	1
3	3.972	9.807	0.608	1.5	0.05	0	0.153	1	6.52	450	2.469	1
4	2.111	3.563	0.581	0.98	0.05	0	0.275	1	3.64	450	1.688	1
5	4.192	7.017	0.729	1.221	0.05	0	0.174	1	5.756	450	1.674	1
6	4.609	10.223	1.355	3.006	0.05	0	0.294	1	3.403	450	2.218	1
7	2.063	5.535	0.392	1.052	0.05	0	0.19	1	5.262	450	2.683	1
8	3.544	7.038	0.45	0.894	0.05	0	0.127	1	7.872	450	1.986	1
9	4.989	10.108	0.858	1.739	0.05	0	0.172	1	5.798	450	2.026	1
10	1.926	4.532	0.198	0.467	0.05	0	0.103	1	9.675	450	2.353	1
11	4.754	8.514	0.96	1.72	0.05	0	0.202	1	4.946	450	1.791	1
12	3.511	7.134	0.541	1.099	0.05	0	0.154	1	6.505	450	2.032	1
13	2.337	4.302	1.257	2.314	0.05	0	0.538	1	1.859	450	1.841	1
14	4.527	10.688	0.493	1.165	0.05	0	0.109	1	9.179	450	2.361	1
15	1.32	2.499	0.132	0.25	0.05	0	0.1	1	9.951	450	1.893	1
16	1.852	3.821	0.444	0.917	0.05	0	0.24	1	4.163	450	2.063	1
17	3.117	5.523	0.34	0.602	0.05	0	0.109	1	9.177	450	1.772	1
18	3.176	6.082	1.073	2.056	0.05	0	0.338	1	2.961	450	1.915	1
19	4.969	13.282	1.431	3.825	0.05	0	0.288	1	3.469	450	2.673	1
20	2.699	6.742	0.74	1.847	0.05	0	0.274	1	3.643	450	2.498	1
21	3.431	5.328	0.532	0.826	0.05	0	0.155	1	6.466	450	1.553	1
22	3.75	10.732	1.309	3.745	0.05	0	0.349	1	2.863	450	2.862	1
23	1.684	3.555	0.945	1.994	0.05	0	0.561	1	1.782	450	2.111	1
24	1.897	3.542	0.486	0.907	0.05	0	0.256	1	3.906	450	1.867	1
25	1.069	1.866	0.342	0.597	0.05	0	0.32	1	3.124	450	1.746	1
26	4.647	8.922	0.665	1.276	0.05	0	0.143	1	7.016	450	1.92	1
27	2.157	5.716	0.442	1.172	0.05	0	0.205	1	4.885	450	2.65	1
28	4.409	9.008	0.613	1.252	0.05	0	0.139	1	7.21	450	2.043	1
29	3.331	9.71	0.413	1.204	0.05	0	0.124	1	8.077	450	2.915	1
30	2.448	6.854	0.443	1.241	0.05	0	0.181	1	5.533	450	2.8	1
31	1.48	3.58	0.173	0.419	0.05	0	0.117	1	8.517	450	2.419	1
32	4.612	10.704	2.629	6.101	0.05	0	0.57	1	1.754	450	2.321	1
33	2.501	3.752	0.44	0.66	0.05	0	0.176	1	5.672	450	1.5	1
34	3.576	6.473	0.408	0.738	0.05	0	0.114	1	8.787	450	1.81	1
35	2.52	5.171	0.529	1.086	0.05	0	0.21	1	4.765	450	2.052	1
36	1.558	3.141	0.203	0.408	0.05	0	0.13	1	7.719	450	2.016	1
37	3.42	10.021	0.547	1.603	0.05	0	0.16	1	6.254	450	2.93	1
38	2.654	7.832	0.276	0.815	0.05	0	0.104	1	9.64	450	2.951	1
39	4.392	10.8	0.61	1.501	0.05	0	0.139	1	7.203	450	2.459	1
40	3.957	6.43	0.467	0.759	0.05	0	0.118	1	8.471	450	1.625	1
41	2.62	6.576	0.333	0.835	0.05	0	0.127	1	7.871	450	2.51	1
42	1.948	3.684	0.212	0.402	0.05	0	0.109	1	9.205	450	1.891	1
43	3.955	6.743	0.427	0.728	0.05	0	0.108	1	9.287	450	1.705	1
44	4.941	12.842	0.909	2.363	0.05	0	0.184	1	5.424	450	2.599	1
45	3.318	7.19	0.401	0.87	0.05	0	0.121	1	8.288	450	2.167	1
46	1.967	4.858	0.226	0.559	0.05	0	0.115	1	8.675	450	2.47	1
47	1.023	2.944	0.11	0.318	0.05	0	0.108	1	9.245	450	2.878	1
48	1.797	3.272	0.557	1.014	0.05	0	0.31	1	3.226	450	1.821	1
49	2.213	6.227	0.476	1.339	0.05	0	0.215	1	4.649	450	2.814	1
50	1.26	2.884	0.197	0.45	0.05	0	0.156	1	6.429	450	2.289	1
51	2.961	6.082	0.554	1.137	0.05	0	0.187	1	5.349	450	2.054	1
52	4.616	11.674	4.399	11.125	0.05	0	0.953	1	1.049	450	2.529	1
53	2.735	6.46	0.949	2.242	0.05	0	0.347	1	2.883	450	2.362	1
54	1.425	2.97	0.276	0.576	0.05	0	0.194	1	5.167	450	2.084	1
55	2.662	5.359	0.666	1.34	0.05	0	0.25	1	3.993	450	2.013	1
56	1.116	2.947	0.74	1.954	0.05	0	0.663	1	1.508	450	2.641	1
57	2.318	4.407	0.264	0.502	0.05	0	0.114	1	8.807	450	1.901	1
58	3.455	9.912	1.151	3.301	0.05	0	0.333	1	2.999	450	2.869	1
59	2.199	4.954	0.699	1.575	0.05	0	0.318	1	3.146	450	2.253	1
60	2.474	6.507	1.917	5.043	0.05	0	0.775	1	1.29	450	2.63	1
61	4.658	12.959	0.866	2.41	0.05	0	0.186	1	5.379	450	2.782	1
62	3.996	11.397	1.726	4.924	0.05	0	0.432	1	2.314	450	2.852	1
63	3.957	10.007	0.471	1.191	0.05	0	0.119	1	8.4	450	2.529	1
64	2.124	5.38	0.726	1.84	0.05	0	0.342	1	2.92	450	2.533	1
65	1.528	4.512	0.362	1.069	0.05	0	0.237	1	4.214	450	2.953	1
66	1.948	4.574	0.335	0.787	0.05	0	0.172	1	5.815	450	2.348	1
67	1.036	2.445	0.287	0.677	0.05	0	0.277	1	3.612	450	2.36	1
68	3.984	8.856	1.733	3.852	0.05	0	0.435	1	2.301	450	2.223	1
69	2.615	7.215	0.361	0.996	0.05	0	0.138	1	7.223	450	2.759	1
70	4.297	7.485	0.451	0.786	0.05	0	0.105	1	9.515	450	1.742	1
71	4.167	8.067	0.729	1.412	0.05	0	0.175	1	5.727	450	1.936	1
72	4.141	7.33	1.135	2.008	0.05	0	0.274	1	3.65	450	1.77	1
73	3.245	5.273	0.357	0.58	0.05	0	0.11	1	9.12	450	1.625	1
74	3.184	8.68	2.159	5.885	0.05	0	0.678	1	1.475	450	2.726	1
75	3.149	7.57	0.381	0.916	0.05	0	0.121	1	8.236	450	2.404	1
76	1.15	3.266	0.176	0.5	0.05	0	0.153	1	6.531	450	2.84	1
77	3.68	9.38	0.659	1.679	0.05	0	0.179	1	5.583	450	2.549	1
78	2.845	6.802	0.313	0.748	0.05	0	0.11	1	9.083	450	2.391	1
79	4.07	8.291	0.505	1.028	0.05	0	0.124	1	8.065	450	2.037	1
80	4.638	8.914	2.133	4.1	0.05	0	0.46	1	2.174	450	1.922	1
81	2.231	5.185	0.582	1.353	0.05	0	0.261	1	3.83	450	2.324	1
82	1.812	4.809	1.102	2.924	0.05	0	0.608	1	1.644	450	2.654	1
83	2.329	6.195	1.46	3.884	0.05	0	0.627	1	1.594	450	2.66	1
84	3.978	9.953	1.054	2.638	0.05	0	0.265	1	3.773	450	2.502	1
85	3.095	8.669	0.576	1.612	0.05	0	0.186	1	5.387	450	2.801	1
86	2.013	5.731	0.234	0.665	0.05	0	0.116	1	8.596	450	2.847	1
87	3.108	5.38	0.329	0.57	0.05	0	0.106	1	9.404	450	1.731	1
88	1.836	3.264	0.452	0.803	0.05	0	0.246	1	4.059	450	1.778	1
89	1.922	5.122	0.273	0.727	0.05	0	0.142	1	7.064	450	2.665	1
90	4.305	9.996	2.118	4.918	0.05	0	0.492	1	2.032	450	2.322	1
91	4.031	8.836	0.79	1.732	0.05	0	0.196	1	5.105	450	2.192	1
92	1.039	2.976	0.195	0.559	0.05	0	0.188	1	5.318	450	2.864	1
93	3.125	8.831	0.375	1.06	0.05	0	0.12	1	8.302	450	2.826	1
94	2.143	5.758	0.225	0.605	0.05	0	0.105	1	9.502	450	2.687	1
95	3.975	9.886	0.413	1.028	0.05	0	0.104	1	9.609	450	2.487	1
96	2.276	4.941	0.537	1.166	0.05	0	0.236	1	4.242	450	2.171	1
97	2.844	4.818	0.333	0.564	0.05	0	0.117	1	8.555	450	1.694	1
98	1.286	3.419	0.527	1.402	0.05	0	0.41	1	2.442	450	2.659	1
99	2.206	5.462	1.05	2.6	0.05	0	0.476	1	2.102	450	2.476	1
100	1.617	4.059	0.163	0.41	0.05	0	0.101	1	9.901	450	2.51	1
101	4.037	8.017	1.066	2.116	0.05	0	0.264	1	3.786	450	1.986	1
102	4.014	10.577	1.024	2.697	0.05	0	0.255	1	3.919	450	2.635	1
103	4.756	13.341	0.718	2.014	0.05	0	0.151	1	6.634	450	2.805	1
104	1.606	3.22	0.27	0.541	0.05	0	0.168	1	5.951	450	2.005	1
105	4.56	8.076	1.368	2.423	0.05	0	0.3	1	3.331	450	1.771	1
106	3.172	7.108	0.33	0.739	0.05	0	0.104	1	9.654	450	2.241	1
107	2.03	4.927	0.851	2.064	0.05	0	0.419	1	2.388	450	2.427	1
108	3.503	8.109	2.48	5.741	0.05	0	0.708	1	1.412	450	2.315	1
109	1.281	3.615	0.195	0.549	0.05	0	0.152	1	6.572	450	2.822	1
110	3.576	8.793	0.74	1.82	0.05	0	0.207	1	4.839	450	2.459	1
111	4.772	8.695	0.845	1.539	0.05	0	0.177	1	5.661	450	1.822	1
112	2.0	5.708	0.334	0.953	0.05	0	0.167	1	5.982	450	2.854	1
113	2.904	8.378	0.366	1.056	0.05	0	0.126	1	7.946	450	2.885	1
114	1.404	2.158	0.24	0.369	0.05	0	0.171	1	5.832	450	1.537	1
115	1.654	4.744	0.2	0.574	0.05	0	0.121	1	8.254	450	2.868	1
116	4.299	8.426	0.537	1.053	0.05	0	0.125	1	8.004	450	1.96	1
117	1.274	2.334	0.135	0.247	0.05	0	0.106	1	9.465	450	1.832	1
118	3.474	8.365	3.238	7.796	0.05	0	0.932	1	1.073	450	2.408	1
119	3.684	5.758	0.674	1.054	0.05	0	0.183	1	5.458	450	1.563	1
120	3.236	8.88	0.343	0.941	0.05	0	0.106	1	9.423	450	2.744	1
121	1.262	2.81	0.337	0.75	0.05	0	0.267	1	3.742	450	2.227	1
122	4.927	12.007	0.867	2.113	0.05	0	0.176	1	5.676	450	2.437	1
123	4.307	11.004	3.549	9.067	0.05	0	0.824	1	1.214	450	2.555	1
124	3.576	9.637	0.608	1.638	0.05	0	0.17	1	5.886	450	2.695	1
125	1.202	2.918	0.144	0.35	0.05	0	0.12	1	8.299	450	2.428	1
126	3.977	11.533	0.521	1.511	0.05	0	0.131	1	7.619	450	2.9	1
127	4.635	8.51	0.983	1.804	0.05	0	0.212	1	4.706	450	1.836	1
128	4.654	8.703	0.521	0.975	0.05	0	0.112	1	8.956	450	1.87	1
129	3.056	8.172	0.41	1.095	0.05	0	0.134	1	7.444	450	2.674	1
130	4.357	7.564	1.891	3.283	0.05	0	0.434	1	2.303	450	1.736	1
131	2.356	3.963	0.443	0.745	0.05	0	0.188	1	5.318	450	1.682	1
132	1.291	2.2	0.163	0.277	0.05	0	0.126	1	7.914	450	1.704	1
133	4.504	8.247	0.513	0.94	0.05	0	0.114	1	8.749	450	1.831	1
134	3.379	6.102	1.747	3.155	0.05	0	0.517	1	1.934	450	1.806	1
135	4.85	12.469	0.635	1.633	0.05	0	0.131	1	7.644	450	2.571	1
136	1.276	2.761	0.156	0.337	0.05	0	0.122	1	8.206	450	2.164	1
137	4.845	13.174	1.526	4.15	0.05	0	0.315	1	3.173	450	2.719	1
138	2.521	4.409	0.275	0.481	0.05	0	0.109	1	9.15	450	1.749	1
139	3.53	7.0	0.367	0.728	0.05	0	0.104	1	9.653	450	1.983	1
140	3.218	6.211	1.133	2.186	0.05	0	0.352	1	2.844	450	1.93	1
141	4.977	12.985	1.448	3.779	0.05	0	0.291	1	3.442	450	2.609	1
142	1.372	3.56	0.951	2.467	0.05	0	0.693	1	1.443	450	2.595	1
143	2.542	6.955	0.796	2.177	0.05	0	0.313	1	3.196	450	2.736	1
144	3.396	7.943	0.839	1.962	0.05	0	0.247	1	4.053	450	2.339	1
145	2.917	5.058	0.513	0.89	0.05	0	0.176	1	5.686	450	1.734	1
146	2.699	7.492	0.372	1.034	0.05	0	0.138	1	7.27	450	2.776	1
147	1.419	3.13	0.43	0.948	0.05	0	0.303	1	3.297	450	2.206	1
148	1.566	2.604	0.553	0.919	0.05	0	0.353	1	2.831	450	1.663	1
149	3.691	10.545	0.705	2.014	0.05	0	0.191	1	5.24	450	2.857	1
150	1.021	2.225	0.954	2.078	0.05	0	0.934	1	1.071	450	2.179	1
151	1.561	2.593	0.293	0.487	0.05	0	0.188	1	5.314	450	1.661	1
152	2.977	6.648	0.304	0.678	0.05	0	0.102	1	9.803	450	2.233	1
153	3.577	10.166	0.98	2.785	0.05	0	0.274	1	3.646	450	2.842	1
154	3.111	6.623	0.772	1.643	0.05	0	0.248	1	4.034	450	2.129	1
155	1.154	1.763	0.167	0.256	0.05	0	0.145	1	6.907	450	1.528	1
156	4.094	6.731	0.45	0.74	0.05	0	0.11	1	9.118	450	1.644	1
157	1.594	4.171	0.732	1.914	0.05	0	0.459	1	2.179	450	2.617	1
158	3.28	5.225	0.912	1.453	0.05	0	0.278	1	3.598	450	1.593	1
159	1.008	2.919	0.141	0.409	0.05	0	0.14	1	7.122	450	2.896	1
160	1.112	2.283	0.25	0.514	0.05	0	0.225	1	4.443	450	2.053	1
161	2.681	6.649	0.295	0.731	0.05	0	0.11	1	9.105	450	2.48	1
162	2.267	5.627	0.256	0.636	0.05	0	0.113	1	8.847	450	2.482	1
163	2.035	3.23	0.216	0.342	0.05	0	0.106	1	9.44	450	1.587	1
164	4.575	7.659	0.531	0.888	0.05	0	0.116	1	8.594	450	1.674	1
165	2.181	3.507	0.351	0.565	0.05	0	0.161	1	6.217	450	1.608	1
166	4.176	7.22	0.944	1.632	0.05	0	0.226	1	4.427	450	1.729	1
167	4.664	9.589	0.485	0.997	0.05	0	0.104	1	9.591	450	2.056	1
168	4.863	13.587	0.676	1.889	0.05	0	0.139	1	7.179	450	2.794	1
169	1.252	1.929	0.144	0.222	0.05	0	0.115	1	8.703	450	1.541	1
170	4.037	9.951	1.054	2.597	0.05	0	0.261	1	3.834	450	2.465	1
171	1.394	2.177	0.286	0.446	0.05	0	0.205	1	4.87	450	1.562	1
172	2.306	3.98	1.704	2.941	0.05	0	0.739	1	1.354	450	1.726	1
173	2.948	4.79	1.023	1.662	0.05	0	0.347	1	2.884	450	1.625	1
174	4.456	7.638	1.141	1.955	0.05	0	0.256	1	3.907	450	1.714	1
175	2.782	4.473	0.801	1.288	0.05	0	0.288	1	3.468	450	1.608	1
176	4.641	9.579	3.629	7.491	0.05	0	0.782	1	1.278	450	2.064	1
177	2.111	3.255	0.222	0.342	0.05	0	0.105	1	9.544	450	1.542	1
178	3.68	6.201	0.423	0.713	0.05	0	0.115	1	8.67	450	1.685	1
179	4.202	8.589	1.765	3.607	0.05	0	0.42	1	2.381	450	2.044	1
180	1.011	2.067	0.106	0.217	0.05	0	0.105	1	9.568	450	2.045	1
181	1.691	4.278	0.472	1.194	0.05	0	0.279	1	3.578	450	2.53	1
182	2.809	6.348	1.663	3.758	0.05	0	0.592	1	1.689	450	2.26	1
183	3.382	7.261	0.572	1.227	0.05	0	0.169	1	5.923	450	2.147	1
