index	R_nought_1	R_nought_2	tr_11	tr_22	tr_12	tr_21	removal_rate	sampling_proba	infectious_time	tree_size	proportion_t22_t11	fraction_1
0	4.813	8.866	0.491	0.904	0.005	0	0.102	1	9.814	485	1.842	1
1	2.714	7.884	0.28	0.812	0.005	0	0.103	1	9.732	475	2.905	1
2	1.45	3.463	0.154	0.367	0.005	0	0.106	1	9.411	453	2.388	1
3	4.322	8.925	0.653	1.348	0.005	0	0.151	1	6.622	465	2.065	1
4	4.848	8.547	1.202	2.12	0.005	0	0.248	1	4.039	459	1.763	1
5	2.755	7.995	0.325	0.943	0.005	0	0.118	1	8.476	464	2.902	1
6	4.621	10.166	0.823	1.81	0.005	0	0.178	1	5.632	455	2.2	1
7	2.711	5.929	0.99	2.164	0.005	0	0.365	1	2.736	481	2.187	1
8	2.818	7.986	0.358	1.014	0.005	0	0.127	1	7.902	462	2.834	1
9	3.479	10.193	0.438	1.284	0.005	0	0.126	1	7.934	474	2.93	1
10	1.897	5.473	0.584	1.686	0.005	0	0.308	1	3.25	485	2.885	1
11	2.888	6.212	0.318	0.683	0.005	0	0.11	1	9.132	486	2.151	1
12	2.825	4.263	1.158	1.748	0.005	0	0.41	1	2.439	462	1.509	1
13	2.322	5.584	1.423	3.423	0.005	0	0.613	1	1.632	470	2.405	1
14	2.655	6.128	0.297	0.686	0.005	0	0.112	1	8.929	488	2.308	1
15	4.695	11.104	0.845	1.999	0.005	0	0.18	1	5.557	451	2.365	1
16	3.944	9.903	0.454	1.139	0.005	0	0.115	1	8.674	457	2.511	1
17	2.508	6.571	0.399	1.045	0.005	0	0.159	1	6.297	457	2.62	1
18	3.337	5.286	0.838	1.327	0.005	0	0.251	1	3.982	499	1.584	1
19	3.4	7.021	0.425	0.878	0.005	0	0.125	1	8.03	493	2.065	1
20	2.118	5.278	0.25	0.623	0.005	0	0.118	1	8.484	469	2.492	1
21	2.143	3.358	0.362	0.568	0.005	0	0.169	1	5.931	484	1.567	1
22	1.361	2.552	0.14	0.263	0.005	0	0.103	1	9.733	463	1.875	1
23	3.083	4.708	0.318	0.485	0.005	0	0.103	1	9.729	468	1.527	1
24	4.065	7.219	0.545	0.967	0.005	0	0.134	1	7.437	477	1.776	1
25	3.981	7.118	0.896	1.602	0.005	0	0.225	1	4.444	450	1.788	1
26	4.503	10.285	0.495	1.131	0.005	0	0.11	1	9.095	485	2.284	1
27	2.249	6.072	0.499	1.348	0.005	0	0.222	1	4.508	451	2.7	1
28	4.676	8.272	0.725	1.282	0.005	0	0.155	1	6.462	480	1.769	1
29	3.293	6.714	0.82	1.672	0.005	0	0.249	1	4.013	492	2.039	1
30	2.267	5.765	0.462	1.176	0.005	0	0.204	1	4.91	474	2.543	1
31	3.986	8.841	0.586	1.3	0.005	0	0.147	1	6.801	486	2.218	1
32	1.913	5.192	0.725	1.968	0.005	0	0.379	1	2.636	469	2.714	1
33	3.162	8.651	0.942	2.578	0.005	0	0.298	1	3.359	485	2.736	1
34	1.448	3.95	0.453	1.236	0.005	0	0.313	1	3.198	473	2.728	1
35	4.48	8.351	1.42	2.647	0.005	0	0.317	1	3.157	451	1.864	1
36	4.297	10.437	0.473	1.148	0.005	0	0.11	1	9.074	461	2.429	1
37	4.621	9.26	1.188	2.38	0.005	0	0.257	1	3.898	480	2.004	1
38	2.873	5.203	0.307	0.557	0.005	0	0.107	1	9.378	459	1.811	1
39	1.538	3.73	1.361	3.301	0.005	0	0.885	1	1.13	450	2.425	1
40	3.613	9.791	2.576	6.981	0.005	0	0.713	1	1.402	495	2.71	1
41	1.699	3.76	0.581	1.286	0.005	0	0.342	1	2.924	499	2.213	1
42	1.173	2.674	0.21	0.479	0.005	0	0.179	1	5.583	475	2.28	1
43	4.851	13.457	0.602	1.669	0.005	0	0.124	1	8.072	486	2.774	1
44	1.865	3.062	0.433	0.71	0.005	0	0.232	1	4.304	491	1.642	1
45	1.146	2.215	0.166	0.321	0.005	0	0.145	1	6.909	485	1.933	1
46	4.227	11.853	0.723	2.027	0.005	0	0.171	1	5.854	454	2.804	1
47	4.724	13.874	0.964	2.83	0.005	0	0.204	1	4.892	492	2.937	1
48	4.904	9.494	1.795	3.475	0.005	0	0.366	1	2.729	460	1.936	1
49	4.32	11.18	0.847	2.191	0.005	0	0.196	1	5.103	465	2.588	1
50	2.103	6.046	0.368	1.058	0.005	0	0.175	1	5.717	473	2.875	1
51	1.26	2.848	0.218	0.493	0.005	0	0.173	1	5.771	465	2.26	1
52	4.106	10.212	1.244	3.094	0.005	0	0.303	1	3.299	488	2.487	1
53	2.913	7.705	0.58	1.533	0.005	0	0.199	1	5.025	489	2.645	1
54	3.409	6.054	1.367	2.428	0.005	0	0.401	1	2.491	457	1.776	1
55	2.32	4.601	0.239	0.474	0.005	0	0.103	1	9.727	457	1.983	1
56	1.053	2.915	0.229	0.633	0.005	0	0.217	1	4.598	453	2.768	1
57	3.913	9.383	0.716	1.717	0.005	0	0.183	1	5.455	472	2.398	1
58	3.003	4.772	0.571	0.907	0.005	0	0.19	1	5.254	453	1.589	1
59	1.582	3.371	0.456	0.971	0.005	0	0.288	1	3.468	492	2.131	1
60	2.314	6.192	1.28	3.424	0.005	0	0.553	1	1.807	470	2.676	1
61	4.904	7.513	0.956	1.465	0.005	0	0.195	1	5.127	490	1.532	1
62	1.572	3.833	1.539	3.753	0.005	0	0.979	1	1.021	472	2.438	1
63	4.319	10.625	0.544	1.339	0.005	0	0.126	1	7.91	494	2.46	1
64	2.452	5.002	0.471	0.96	0.005	0	0.192	1	5.21	493	2.04	1
65	4.298	7.152	0.477	0.794	0.005	0	0.111	1	8.976	489	1.664	1
66	1.727	3.969	0.418	0.96	0.005	0	0.242	1	4.129	471	2.298	1
67	1.812	3.479	0.232	0.445	0.005	0	0.128	1	7.783	499	1.92	1
68	1.352	3.172	0.138	0.324	0.005	0	0.102	1	9.792	492	2.346	1
69	4.128	8.557	0.487	1.01	0.005	0	0.118	1	8.466	499	2.073	1
70	3.597	9.985	0.608	1.687	0.005	0	0.169	1	5.918	485	2.776	1
71	4.086	7.383	3.669	6.63	0.005	0	0.898	1	1.114	474	1.807	1
72	1.736	5.178	0.269	0.803	0.005	0	0.155	1	6.431	495	2.983	1
73	1.737	3.736	0.234	0.504	0.005	0	0.135	1	7.423	495	2.151	1
74	3.111	6.085	1.372	2.683	0.005	0	0.441	1	2.268	492	1.956	1
75	4.48	7.616	0.488	0.83	0.005	0	0.109	1	9.177	464	1.7	1
76	3.033	5.569	0.479	0.88	0.005	0	0.158	1	6.314	467	1.836	1
77	1.193	2.83	0.336	0.798	0.005	0	0.282	1	3.551	458	2.372	1
78	1.112	3.23	0.185	0.536	0.005	0	0.166	1	6.029	490	2.905	1
79	4.472	9.856	0.921	2.03	0.005	0	0.206	1	4.849	464	2.204	1
80	1.327	2.539	0.325	0.622	0.005	0	0.245	1	4.079	457	1.913	1
81	3.92	8.06	1.078	2.217	0.005	0	0.275	1	3.632	486	2.056	1
82	1.562	3.91	0.628	1.572	0.005	0	0.402	1	2.486	488	2.503	1
83	2.3	6.684	0.276	0.802	0.005	0	0.12	1	8.328	465	2.906	1
84	4.487	10.657	1.849	4.391	0.005	0	0.412	1	2.425	490	2.375	1
85	1.021	3.062	0.126	0.377	0.005	0	0.123	1	8.149	467	2.999	1
86	1.782	4.027	0.248	0.56	0.005	0	0.139	1	7.21	486	2.26	1
87	2.814	5.724	0.414	0.841	0.005	0	0.147	1	6.819	454	2.034	1
88	2.726	8.02	1.088	3.2	0.005	0	0.399	1	2.504	475	2.942	1
89	3.153	5.619	0.369	0.657	0.005	0	0.117	1	8.577	463	1.782	1
90	3.231	7.712	0.914	2.182	0.005	0	0.283	1	3.528	461	2.387	1
91	4.023	10.323	0.575	1.476	0.005	0	0.143	1	6.993	463	2.566	1
92	4.415	9.099	0.698	1.438	0.005	0	0.158	1	6.315	478	2.061	1
