index	R_nought_1	R_nought_2	tr_11	tr_22	tr_12	tr_21	removal_rate	sampling_proba	infectious_time	tree_size	proportion_t22_t11	fraction_1
0	2.197	4.864	0.404	0.895	0.005	0	0.184	1	5.43	469	2.214	1
1	2.795	7.424	0.71	1.886	0.005	0	0.254	1	3.931	473	2.656	1
2	3.098	5.905	0.654	1.246	0.005	0	0.211	1	4.748	457	1.906	1
3	4.006	10.752	1.314	3.527	0.005	0	0.328	1	3.047	464	2.684	1
4	3.847	10.864	0.869	2.455	0.005	0	0.226	1	4.426	475	2.824	1
5	1.283	2.879	0.405	0.91	0.005	0	0.316	1	3.165	465	2.244	1
6	1.496	4.314	0.443	1.277	0.005	0	0.296	1	3.377	467	2.884	1
7	1.47	2.477	0.147	0.248	0.005	0	0.1	1	9.963	461	1.685	1
8	4.747	10.144	1.168	2.495	0.005	0	0.246	1	4.071	464	2.137	1
9	2.229	5.92	0.232	0.616	0.005	0	0.104	1	9.62	479	2.656	1
