index	R_nought_1	R_nought_2	tr_11	tr_22	tr_12	tr_21	removal_rate	sampling_proba	infectious_time	tree_size	proportion_t22_t11	fraction_1
0	3.946	6.685	0.698	1.183	0.005	0	0.177	1	5.66	470	1.694	1
1	4.898	13.308	1.484	4.032	0.005	0	0.303	1	3.301	483	2.717	1
2	4.57	11.658	2.029	5.176	0.005	0	0.444	1	2.253	496	2.551	1
3	3.364	5.927	0.706	1.245	0.005	0	0.21	1	4.758	481	1.762	1
4	1.875	5.344	0.322	0.919	0.005	0	0.172	1	5.817	493	2.85	1
5	2.982	4.53	0.459	0.698	0.005	0	0.154	1	6.496	452	1.519	1
6	1.839	4.963	0.188	0.506	0.005	0	0.102	1	9.791	496	2.699	1
7	3.431	5.946	2.975	5.155	0.005	0	0.867	1	1.153	468	1.733	1
8	3.973	10.965	0.425	1.173	0.005	0	0.107	1	9.325	492	2.76	1
9	3.542	5.352	0.375	0.567	0.005	0	0.106	1	9.441	450	1.511	1
10	1.182	2.44	0.157	0.325	0.005	0	0.133	1	7.533	460	2.064	1
11	4.741	13.483	2.982	8.481	0.005	0	0.629	1	1.589	490	2.844	1
12	3.835	5.841	1.361	2.074	0.005	0	0.355	1	2.819	468	1.523	1
13	2.234	5.902	0.849	2.243	0.005	0	0.38	1	2.632	476	2.642	1
14	3.791	6.445	0.512	0.87	0.005	0	0.135	1	7.419	457	1.7	1
15	2.391	4.799	0.277	0.557	0.005	0	0.116	1	8.593	470	2.007	1
16	4.719	9.221	0.571	1.116	0.005	0	0.121	1	8.255	465	1.954	1
17	2.437	4.14	2.032	3.453	0.005	0	0.834	1	1.199	451	1.699	1
18	3.971	11.643	0.477	1.397	0.005	0	0.12	1	8.302	485	2.932	1
19	1.424	3.456	0.54	1.31	0.005	0	0.379	1	2.642	469	2.427	1
20	4.126	11.004	0.871	2.322	0.005	0	0.211	1	4.745	490	2.667	1
21	3.382	7.711	0.599	1.365	0.005	0	0.177	1	5.662	457	2.28	1
22	1.366	3.944	0.158	0.458	0.005	0	0.116	1	8.649	451	2.887	1
23	2.463	5.308	0.342	0.738	0.005	0	0.139	1	7.189	462	2.155	1
24	4.526	10.785	0.57	1.359	0.005	0	0.126	1	7.923	456	2.383	1
25	2.923	8.515	0.693	2.018	0.005	0	0.237	1	4.222	486	2.913	1
26	4.241	11.709	0.462	1.276	0.005	0	0.109	1	9.216	477	2.761	1
