index	R_nought_1	R_nought_2	tr_11	tr_22	tr_12	tr_21	removal_rate	sampling_proba	infectious_time	tree_size	proportion_t22_t11	fraction_1
0	4.267	10.164	0.508	1.21	0.005	0	0.119	1	8.425	499	2.382	1
1	2.75	5.555	0.28	0.567	0.005	0	0.102	1	9.798	484	2.02	1
2	3.031	5.95	2.816	5.528	0.005	0	0.929	1	1.076	488	1.963	1
3	1.515	2.645	0.423	0.738	0.005	0	0.279	1	3.583	496	1.746	1
4	4.838	14.122	0.489	1.426	0.005	0	0.101	1	9.876	460	2.919	1
5	4.573	12.416	0.695	1.887	0.005	0	0.152	1	6.588	479	2.715	1
6	2.946	8.122	0.899	2.477	0.005	0	0.305	1	3.274	477	2.757	1
7	3.003	7.844	0.396	1.035	0.005	0	0.132	1	7.578	496	2.612	1
8	2.478	5.023	1.115	2.26	0.005	0	0.45	1	2.223	496	2.027	1
9	3.601	7.649	0.605	1.285	0.005	0	0.168	1	5.939	486	2.124	1
10	4.563	8.049	1.547	2.729	0.005	0	0.339	1	2.947	499	1.764	1
11	2.823	6.196	0.294	0.644	0.005	0	0.104	1	9.587	471	2.195	1
12	3.174	4.856	0.448	0.685	0.005	0	0.141	1	7.098	454	1.53	1
13	4.754	8.248	1.383	2.4	0.005	0	0.291	1	3.432	482	1.735	1
14	3.405	9.939	0.358	1.044	0.005	0	0.105	1	9.484	493	2.919	1
15	3.326	6.379	0.466	0.893	0.005	0	0.14	1	7.132	477	1.918	1
16	2.467	4.941	1.199	2.401	0.005	0	0.486	1	2.058	482	2.003	1
17	4.343	6.771	0.712	1.11	0.005	0	0.164	1	6.101	456	1.559	1
18	2.389	4.028	0.43	0.725	0.005	0	0.18	1	5.556	497	1.686	1
19	1.677	2.982	0.247	0.438	0.005	0	0.147	1	6.799	476	1.778	1
20	4.796	7.621	1.328	2.111	0.005	0	0.277	1	3.611	478	1.589	1
21	3.815	6.39	1.747	2.927	0.005	0	0.458	1	2.184	455	1.675	1
22	2.273	5.737	0.325	0.82	0.005	0	0.143	1	6.978	452	2.524	1
23	2.932	6.251	0.305	0.65	0.005	0	0.104	1	9.6	495	2.132	1
24	3.981	6.971	1.485	2.6	0.005	0	0.373	1	2.679	465	1.751	1
25	1.03	2.072	0.196	0.394	0.005	0	0.19	1	5.277	478	2.012	1
26	2.189	4.444	0.252	0.511	0.005	0	0.115	1	8.726	473	2.03	1
27	1.518	3.888	0.346	0.886	0.005	0	0.228	1	4.383	482	2.561	1
